X=  0.00000, Y=  0.00000, th=  3.14159 
X=  -86.98675, Y=  -0.16253, th=  3.14159 
X=  -87.47544, Y=  -0.16253, th=  3.14159 
X=  -88.45283, Y=  -0.16253, th=  3.14159 
X=  -89.43021, Y=  -0.16253, th=  3.14159 
X=  -90.16325, Y=  -0.16136, th=  3.13841 
X=  -91.14063, Y=  -0.15825, th=  3.13841 
X=  -91.87367, Y=  -0.15709, th=  3.14159 
X=  -92.85105, Y=  -0.15709, th=  3.14159 
X=  -93.33974, Y=  -0.15709, th=  3.14159 
X=  -94.31713, Y=  -0.15709, th=  3.14159 
X=  -95.29451, Y=  -0.15709, th=  3.14159 
X=  -96.02755, Y=  -0.15592, th=  3.13841 
X=  -96.76059, Y=  -0.15475, th=  3.14159 
X=  -97.49362, Y=  -0.15592, th=  -3.13841 
X=  -98.22666, Y=  -0.15709, th=  -3.14159 
X=  -99.20405, Y=  -0.15709, th=  -3.14159 
X=  -100.18143, Y=  -0.15709, th=  -3.14159 
X=  -100.91447, Y=  -0.15592, th=  3.13841 
X=  -101.64750, Y=  -0.15475, th=  3.14159 
X=  -102.62489, Y=  -0.15475, th=  3.14159 
X=  -103.35793, Y=  -0.15592, th=  -3.13841 
X=  -104.09096, Y=  -0.15709, th=  -3.14159 
X=  -105.06835, Y=  -0.15709, th=  -3.14159 
X=  -106.04573, Y=  -0.15709, th=  -3.14159 
X=  -106.77877, Y=  -0.15592, th=  3.13841 
X=  -107.51181, Y=  -0.15475, th=  3.14159 
X=  -108.48919, Y=  -0.15475, th=  3.14159 
X=  -109.22223, Y=  -0.15359, th=  3.13841 
X=  -109.95527, Y=  -0.15242, th=  3.14159 
X=  -110.93265, Y=  -0.15242, th=  3.14159 
X=  -111.66569, Y=  -0.15125, th=  3.13841 
X=  -112.64307, Y=  -0.14814, th=  3.13841 
X=  -113.37610, Y=  -0.14464, th=  3.13523 
X=  -114.10913, Y=  -0.14114, th=  3.13841 
X=  -115.08651, Y=  -0.13803, th=  3.13841 
X=  -115.57520, Y=  -0.13648, th=  3.13841 
X=  -116.55258, Y=  -0.13337, th=  3.13841 
X=  -117.52996, Y=  -0.13026, th=  3.13841 
X=  -118.26299, Y=  -0.12676, th=  3.13523 
X=  -119.24035, Y=  -0.12054, th=  3.13523 
X=  -119.97338, Y=  -0.11704, th=  3.13841 
X=  -120.70641, Y=  -0.11354, th=  3.13523 
X=  -121.68377, Y=  -0.10732, th=  3.13523 
X=  -122.41680, Y=  -0.10382, th=  3.13841 
X=  -123.14983, Y=  -0.10032, th=  3.13523 
X=  -124.12720, Y=  -0.09410, th=  3.13523 
X=  -125.10456, Y=  -0.08788, th=  3.13523 
