X=  715.03359, Y=  2599.98860, th=  0.00972 
X=  716.16802, Y=  2599.99779, th=  0.00648 
X=  717.52935, Y=  2600.00662, th=  0.00648 
X=  718.43690, Y=  2600.01250, th=  0.00648 
X=  719.57133, Y=  2600.02169, th=  0.00972 
X=  720.47885, Y=  2600.03052, th=  0.00972 
X=  721.61328, Y=  2600.03971, th=  0.00648 
X=  722.97461, Y=  2600.04854, th=  0.00648 
X=  723.88216, Y=  2600.05442, th=  0.00648 
X=  725.01659, Y=  2600.06361, th=  0.00972 
X=  725.92412, Y=  2600.07244, th=  0.00972 
X=  727.05854, Y=  2600.08163, th=  0.00648 
X=  728.41987, Y=  2600.09046, th=  0.00648 
X=  729.32742, Y=  2600.09634, th=  0.00648 
X=  730.46185, Y=  2600.10553, th=  0.00972 
X=  731.59628, Y=  2600.11473, th=  0.00648 
X=  732.50383, Y=  2600.12061, th=  0.00648 
X=  733.63828, Y=  2600.12612, th=  0.00324 
X=  734.77273, Y=  2600.13164, th=  0.00648 
X=  735.68028, Y=  2600.13752, th=  0.00648 
X=  737.04161, Y=  2600.14635, th=  0.00648 
X=  738.17606, Y=  2600.15186, th=  0.00324 
X=  739.08363, Y=  2600.15481, th=  0.00324 
X=  740.21808, Y=  2600.16032, th=  0.00648 
X=  741.35253, Y=  2600.16584, th=  0.00324 
X=  742.26009, Y=  2600.16878, th=  0.00324 
X=  743.62144, Y=  2600.17319, th=  0.00324 
X=  744.52901, Y=  2600.17613, th=  0.00324 
X=  745.43658, Y=  2600.17908, th=  0.00324 
X=  746.79793, Y=  2600.18349, th=  0.00324 
X=  747.70549, Y=  2600.18643, th=  0.00324 
X=  748.83996, Y=  2600.18827, th=  0.00000 
X=  749.97442, Y=  2600.19011, th=  0.00324 
X=  750.88198, Y=  2600.19305, th=  0.00324 
X=  751.78955, Y=  2600.19599, th=  0.00324 
X=  752.92401, Y=  2600.19783, th=  0.00000 
X=  754.28537, Y=  2600.19783, th=  0.00000 
X=  755.19294, Y=  2600.19783, th=  0.00000 
X=  756.32740, Y=  2600.19967, th=  0.00324 
X=  757.23497, Y=  2600.20261, th=  0.00324 
X=  758.36943, Y=  2600.20445, th=  0.00000 
X=  759.27700, Y=  2600.20445, th=  0.00000 
X=  760.63836, Y=  2600.20445, th=  0.00000 
X=  761.54593, Y=  2600.20445, th=  0.00000 
X=  762.68039, Y=  2600.20629, th=  0.00324 
X=  763.58796, Y=  2600.20923, th=  0.00324 
X=  764.72242, Y=  2600.21107, th=  0.00000 
X=  765.63000, Y=  2600.21107, th=  0.00000 
X=  766.99135, Y=  2600.21107, th=  0.00000 
X=  767.89892, Y=  2600.21107, th=  0.00000 
X=  769.03339, Y=  2600.21291, th=  0.00324 
X=  769.94095, Y=  2600.21585, th=  0.00324 
X=  771.07541, Y=  2600.21769, th=  0.00000 
