X=  2313.21918, Y=  2600.05552, th=  0.00324 
X=  2314.35363, Y=  2600.06104, th=  0.00648 
X=  2315.48808, Y=  2600.06656, th=  0.00324 
X=  2316.84943, Y=  2600.07097, th=  0.00324 
X=  2317.75700, Y=  2600.07391, th=  0.00324 
X=  2318.66456, Y=  2600.07685, th=  0.00324 
X=  2319.79901, Y=  2600.08237, th=  0.00648 
X=  2320.93346, Y=  2600.08788, th=  0.00324 
X=  2322.29481, Y=  2600.09230, th=  0.00324 
X=  2323.20238, Y=  2600.09524, th=  0.00324 
X=  2324.10995, Y=  2600.09818, th=  0.00324 
X=  2325.47130, Y=  2600.10259, th=  0.00324 
X=  2326.60576, Y=  2600.10443, th=  0.00000 
X=  2327.74022, Y=  2600.10627, th=  0.00324 
X=  2328.64779, Y=  2600.10921, th=  0.00324 
X=  2329.78225, Y=  2600.11105, th=  0.00000 
X=  2330.91671, Y=  2600.11289, th=  0.00324 
X=  2332.05118, Y=  2600.11473, th=  0.00000 
X=  2332.95875, Y=  2600.11473, th=  0.00000 
X=  2334.09321, Y=  2600.11657, th=  0.00324 
X=  2335.00078, Y=  2600.11951, th=  0.00324 
X=  2336.13524, Y=  2600.12135, th=  0.00000 
X=  2337.49660, Y=  2600.12135, th=  0.00000 
X=  2338.40417, Y=  2600.12135, th=  0.00000 
X=  2339.53863, Y=  2600.12318, th=  0.00324 
X=  2340.67309, Y=  2600.12502, th=  0.00000 
X=  2341.58066, Y=  2600.12502, th=  0.00000 
X=  2342.94202, Y=  2600.12502, th=  0.00000 
X=  2343.84959, Y=  2600.12502, th=  0.00000 
X=  2344.75716, Y=  2600.12502, th=  0.00000 
X=  2345.89162, Y=  2600.12686, th=  0.00324 
X=  2347.02609, Y=  2600.12870, th=  0.00000 
X=  2347.93366, Y=  2600.12870, th=  0.00000 
X=  2349.29502, Y=  2600.12870, th=  0.00000 
X=  2350.20259, Y=  2600.12870, th=  0.00000 
X=  2351.11016, Y=  2600.12870, th=  0.00000 
X=  2352.24462, Y=  2600.13054, th=  0.00324 
X=  2353.15219, Y=  2600.13348, th=  0.00324 
X=  2354.28665, Y=  2600.13532, th=  0.00000 
X=  2355.42111, Y=  2600.13716, th=  0.00324 
X=  2356.55557, Y=  2600.13900, th=  0.00000 
X=  2357.69004, Y=  2600.14083, th=  0.00324 
X=  2358.59760, Y=  2600.14378, th=  0.00324 
X=  2359.50517, Y=  2600.14672, th=  0.00324 
X=  2360.86652, Y=  2600.15113, th=  0.00324 
X=  2361.77409, Y=  2600.15407, th=  0.00324 
X=  2362.90855, Y=  2600.15591, th=  0.00000 
X=  2364.04301, Y=  2600.15775, th=  0.00324 
X=  2364.95058, Y=  2600.16069, th=  0.00324 
X=  2366.08504, Y=  2600.16253, th=  0.00000 
X=  2367.21950, Y=  2600.16437, th=  0.00324 
X=  2368.35397, Y=  2600.16621, th=  0.00000 
X=  2369.48843, Y=  2600.16805, th=  0.00324 
X=  2370.39599, Y=  2600.17099, th=  0.00324 
X=  2371.53046, Y=  2600.17283, th=  0.00000 
X=  2372.66492, Y=  2600.17466, th=  0.00324 
X=  2373.79938, Y=  2600.17650, th=  0.00000 
X=  2374.93384, Y=  2600.17834, th=  0.00324 
X=  2375.84141, Y=  2600.18128, th=  0.00324 
X=  2376.74898, Y=  2600.18423, th=  0.00324 
X=  2377.88344, Y=  2600.18606, th=  0.00000 
X=  2378.79101, Y=  2600.18606, th=  0.00000 
X=  2380.15237, Y=  2600.18606, th=  0.00000 
X=  2381.05994, Y=  2600.18606, th=  0.00000 
X=  2382.19440, Y=  2600.18790, th=  0.00324 
X=  2383.10197, Y=  2600.19084, th=  0.00324 
X=  2384.23643, Y=  2600.19268, th=  0.00000 
X=  2385.37089, Y=  2600.19084, th=  -0.00324 
X=  2386.50536, Y=  2600.18901, th=  0.00000 
X=  2387.41293, Y=  2600.18901, th=  0.00000 
X=  2388.32050, Y=  2600.18901, th=  0.00000 
X=  2389.45496, Y=  2600.19084, th=  0.00324 
X=  2390.58942, Y=  2600.19268, th=  0.00000 
X=  2391.49699, Y=  2600.19268, th=  0.00000 
X=  2392.85835, Y=  2600.19268, th=  0.00000 
X=  2393.76592, Y=  2600.19268, th=  0.00000 
X=  2394.67349, Y=  2600.19268, th=  0.00000 
X=  2396.03485, Y=  2600.19268, th=  0.00000 
X=  2396.94242, Y=  2600.19268, th=  0.00000 
X=  2398.07688, Y=  2600.19084, th=  -0.00324 
X=  2399.21135, Y=  2600.18901, th=  0.00000 
X=  2400.11892, Y=  2600.18901, th=  0.00000 
X=  2401.48027, Y=  2600.18901, th=  0.00000 
X=  2402.38785, Y=  2600.18901, th=  0.00000 
X=  2403.52231, Y=  2600.18717, th=  -0.00324 
X=  2404.42987, Y=  2600.18423, th=  -0.00324 
X=  2405.56434, Y=  2600.18239, th=  0.00000 
X=  2406.69880, Y=  2600.18055, th=  -0.00324 
X=  2407.83326, Y=  2600.17871, th=  0.00000 
X=  2408.96772, Y=  2600.17687, th=  -0.00324 
X=  2409.87529, Y=  2600.17393, th=  -0.00324 
X=  2411.00975, Y=  2600.17209, th=  0.00000 
X=  2411.91732, Y=  2600.17209, th=  0.00000 
X=  2413.05179, Y=  2600.17025, th=  -0.00324 
X=  2414.41314, Y=  2600.16584, th=  -0.00324 
X=  2415.32070, Y=  2600.16290, th=  -0.00324 
X=  2416.22827, Y=  2600.15996, th=  -0.00324 
X=  2417.36273, Y=  2600.15812, th=  0.00000 
X=  2418.49719, Y=  2600.15628, th=  -0.00324 
X=  2419.63166, Y=  2600.15444, th=  0.00000 
X=  2420.76612, Y=  2600.15260, th=  -0.00324 
X=  2421.67369, Y=  2600.14966, th=  -0.00324 
X=  2422.80815, Y=  2600.14782, th=  0.00000 
X=  2423.71572, Y=  2600.14782, th=  0.00000 
X=  2424.85018, Y=  2600.14598, th=  -0.00324 
X=  2425.98465, Y=  2600.14414, th=  0.00000 
X=  2427.11911, Y=  2600.14231, th=  -0.00324 
X=  2428.25357, Y=  2600.14047, th=  0.00000 
X=  2429.16114, Y=  2600.14047, th=  0.00000 
X=  2430.06871, Y=  2600.14047, th=  0.00000 
X=  2431.43007, Y=  2600.14047, th=  0.00000 
X=  2432.33764, Y=  2600.14047, th=  0.00000 
X=  2433.47210, Y=  2600.13863, th=  -0.00324 
X=  2434.60657, Y=  2600.13679, th=  0.00000 
X=  2435.51414, Y=  2600.13679, th=  0.00000 
X=  2436.64860, Y=  2600.13863, th=  0.00324 
X=  2437.78306, Y=  2600.14047, th=  0.00000 
X=  2438.69063, Y=  2600.14047, th=  0.00000 
X=  2439.82510, Y=  2600.13863, th=  -0.00324 
X=  2440.95956, Y=  2600.13679, th=  0.00000 
X=  2441.86713, Y=  2600.13679, th=  0.00000 
X=  2443.00159, Y=  2600.13863, th=  0.00324 
X=  2444.13605, Y=  2600.14047, th=  0.00000 
X=  2445.04363, Y=  2600.14047, th=  0.00000 
X=  2446.17809, Y=  2600.13863, th=  -0.00324 
X=  2447.31255, Y=  2600.13679, th=  0.00000 
X=  2448.22012, Y=  2600.13679, th=  0.00000 
X=  2449.35458, Y=  2600.13863, th=  0.00324 
X=  2450.26215, Y=  2600.14157, th=  0.00324 
X=  2451.39661, Y=  2600.14341, th=  0.00000 
X=  2452.30418, Y=  2600.14341, th=  0.00000 
X=  2453.66554, Y=  2600.14341, th=  0.00000 
X=  2454.57311, Y=  2600.14341, th=  0.00000 
X=  2455.48068, Y=  2600.14341, th=  0.00000 
X=  2456.61515, Y=  2600.14525, th=  0.00324 
X=  2457.74961, Y=  2600.14709, th=  0.00000 
X=  2458.65718, Y=  2600.14709, th=  0.00000 
X=  2460.01854, Y=  2600.14709, th=  0.00000 
X=  2460.92611, Y=  2600.14709, th=  0.00000 
X=  2462.06057, Y=  2600.14892, th=  0.00324 
X=  2463.19503, Y=  2600.15076, th=  0.00000 
X=  2464.10260, Y=  2600.15076, th=  0.00000 
X=  2465.46396, Y=  2600.15076, th=  0.00000 
X=  2466.37153, Y=  2600.15076, th=  0.00000 
X=  2467.50599, Y=  2600.15260, th=  0.00324 
X=  2468.64046, Y=  2600.15444, th=  0.00000 
X=  2469.54803, Y=  2600.15444, th=  0.00000 
X=  2470.90939, Y=  2600.15444, th=  0.00000 
X=  2471.81696, Y=  2600.15444, th=  0.00000 
X=  2472.95142, Y=  2600.15628, th=  0.00324 
X=  2474.08588, Y=  2600.15812, th=  0.00000 
X=  2474.99345, Y=  2600.15812, th=  0.00000 
X=  2476.35481, Y=  2600.15812, th=  0.00000 
X=  2477.26238, Y=  2600.15812, th=  0.00000 
X=  2478.39684, Y=  2600.15996, th=  0.00324 
X=  2479.30441, Y=  2600.16290, th=  0.00324 
X=  2480.43887, Y=  2600.16474, th=  0.00000 
X=  2481.80023, Y=  2600.16474, th=  0.00000 
X=  2482.70780, Y=  2600.16474, th=  0.00000 
X=  2483.84226, Y=  2600.16658, th=  0.00324 
X=  2484.74983, Y=  2600.16952, th=  0.00324 
X=  2485.65740, Y=  2600.17246, th=  0.00324 
X=  2486.79186, Y=  2600.17430, th=  0.00000 
X=  2488.15322, Y=  2600.17430, th=  0.00000 
X=  2489.06079, Y=  2600.17430, th=  0.00000 
X=  2490.19525, Y=  2600.17614, th=  0.00324 
X=  2491.10282, Y=  2600.17908, th=  0.00324 
X=  2492.23728, Y=  2600.18092, th=  0.00000 
X=  2493.14485, Y=  2600.18092, th=  0.00000 
X=  2494.50621, Y=  2600.18092, th=  0.00000 
X=  2495.41378, Y=  2600.18092, th=  0.00000 
X=  2496.54824, Y=  2600.18275, th=  0.00324 
X=  2497.45581, Y=  2600.18570, th=  0.00324 
X=  2498.59027, Y=  2600.18753, th=  0.00000 
X=  2499.49784, Y=  2600.18753, th=  0.00000 
X=  2500.85920, Y=  2600.18753, th=  0.00000 
X=  2501.76677, Y=  2600.18753, th=  0.00000 
X=  2502.90123, Y=  2600.18937, th=  0.00324 
X=  2504.03569, Y=  2600.19121, th=  0.00000 
X=  2504.94326, Y=  2600.19121, th=  0.00000 
X=  2506.30462, Y=  2600.19121, th=  0.00000 
X=  2507.21219, Y=  2600.19121, th=  0.00000 
X=  2508.11976, Y=  2600.19121, th=  0.00000 
X=  2509.25423, Y=  2600.19305, th=  0.00324 
X=  2510.38869, Y=  2600.19489, th=  0.00000 
X=  2511.29626, Y=  2600.19489, th=  0.00000 
X=  2512.65762, Y=  2600.19489, th=  0.00000 
X=  2513.56519, Y=  2600.19489, th=  0.00000 
X=  2514.69965, Y=  2600.19673, th=  0.00324 
X=  2515.60722, Y=  2600.19967, th=  0.00324 
X=  2516.74168, Y=  2600.20151, th=  0.00000 
X=  2517.87614, Y=  2600.20335, th=  0.00324 
X=  2519.01060, Y=  2600.20519, th=  0.00000 
X=  2520.14507, Y=  2600.20702, th=  0.00324 
X=  2521.05263, Y=  2600.20997, th=  0.00324 
X=  2522.18710, Y=  2600.21180, th=  0.00000 
X=  2523.09467, Y=  2600.21180, th=  0.00000 
X=  2524.45602, Y=  2600.21180, th=  0.00000 
X=  2525.36360, Y=  2600.21180, th=  0.00000 
X=  2526.49806, Y=  2600.21364, th=  0.00324 
X=  2527.40562, Y=  2600.21658, th=  0.00324 
X=  2528.31319, Y=  2600.21953, th=  0.00324 
X=  2529.67454, Y=  2600.22394, th=  0.00324 
X=  2530.80900, Y=  2600.22578, th=  0.00000 
X=  2531.71657, Y=  2600.22578, th=  0.00000 
X=  2532.85104, Y=  2600.22762, th=  0.00324 
X=  2533.98550, Y=  2600.22945, th=  0.00000 
X=  2535.11996, Y=  2600.23129, th=  0.00324 
X=  2536.25442, Y=  2600.23313, th=  0.00000 
X=  2537.16200, Y=  2600.23313, th=  0.00000 
X=  2538.29646, Y=  2600.23497, th=  0.00324 
X=  2539.20402, Y=  2600.23791, th=  0.00324 
X=  2540.33849, Y=  2600.23975, th=  0.00000 
X=  2541.69984, Y=  2600.23975, th=  0.00000 
X=  2542.60741, Y=  2600.23975, th=  0.00000 
X=  2543.51499, Y=  2600.23975, th=  0.00000 
X=  2544.64945, Y=  2600.24159, th=  0.00324 
X=  2545.78391, Y=  2600.24343, th=  0.00000 
X=  2546.69148, Y=  2600.24343, th=  0.00000 
